"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"KY","1","R","M","W000413","29525",25,0.555456213477941,0.467411706864038,0.655406294725592,"Whitfield (R KY-1)",233,"Edward","Whitfield"
"OH","8","R","M","B000589","15806",713,0.563701792726385,0.198726867749032,0.958999972359878,"Boehner (R OH-8)",234,"John","Boehner"
"WV","1","R","M","M001180","21188",12,0.564407142265579,0.470087171067513,0.654454717334311,"McKinley (R WV-1)",235,"David","McKinley"
"KY","4","R","M","M001184","31102",7,0.569741289855185,0.478614042376815,0.657809704448229,"Massie (R KY-4)",236,"Thomas","Massie"
"OH","15","R","M","S001187","21163",31,0.573734346389618,0.48518959666805,0.670103365969062,"Stivers (R OH-15)",237,"Steve","Stivers"
"OR","2","R","M","W000791","29932",12,0.579175742482157,0.48002847132,0.678058978279092,"Walden (R OR-2)",238,"Greg","Walden"
"CA","42","R","M","C000059","29323",10,0.58017117442395,0.480570114749633,0.675020725398984,"Calvert (R CA-42)",239,"Ken","Calvert"
"NE","1","R","M","F000449","20518",20,0.581924203689954,0.488426909328496,0.671947712158326,"Fortenberry (R NE-1)",240,"Jeff","Fortenberry"
"PA","18","R","M","M001151","20346",9,0.594152156067151,0.501883944069376,0.691803319545268,"Murphy (R PA-18)",241,"Tim","Murphy"
"PA","9","R","M","S001154","20134",10,0.597000879203547,0.508109320441052,0.701557944479454,"Shuster (R PA-9)",242,"Bill","Shuster"
"NY","27","R","M","C001092","21345",14,0.601131168550014,0.501771650732016,0.691964460445877,"Collins (R NY-27)",243,"Chris","Collins"
"KY","5","R","M","R000395","14854",11,0.603209321333953,0.501862006747593,0.701559299913498,"Rogers (R KY-5)",244,"Harold","Rogers"
"PA","3","R","M","K000376","21167",6,0.607709863167993,0.508516129134524,0.703613978067166,"Kelly (R PA-3)",245,"Mike","Kelly"
"OH","12","R","M","T000462","20130",22,0.610652983696706,0.514637973886656,0.712339754341261,"Tiberi (R OH-12)",246,"Pat","Tiberi"
"TN","2","R","M","D000533","15455",19,0.612361547891873,0.520467220458025,0.704268607021218,"Duncan Jr. (R TN-2)",247,"John","Duncan Jr."
"FL","16","R","M","B001260","20709",38,0.612574613998929,0.507939676581521,0.704812460010066,"Buchanan (R FL-16)",248,"Vern","Buchanan"
"NC","2","R","F","E000291","21159",54,0.615924237763298,0.516664067283631,0.720145256380395,"Ellmers (R NC-2)",249,"Renee","Ellmers"
"NV","2","R","M","A000369","21196",50,0.617849378110089,0.522496614584461,0.714828749531818,"Amodei (R NV-2)",250,"Mark","Amodei"
"WA","4","R","M","N000189","",6,0.619065877728558,0.527257399750018,0.71893998173233,"Newhouse (R WA-4)",251,"Dan","Newhouse"
"FL","4","R","M","C001045","20111",9,0.621166672288603,0.523931343520907,0.724270231510839,"Crenshaw (R FL-4)",252,"Ander","Crenshaw"
"MO","6","R","M","G000546","20124",61,0.622107210720489,0.524349123008503,0.724263546897135,"Graves (R MO-6)",253,"Sam","Graves"
"MI","1","R","M","B001271","21141",6,0.625099657143623,0.519679684991743,0.717531439594658,"Benishek (R MI-1)",254,"Dan","Benishek"
